Id,Url,ImageUrl,Name,Symbol,CoinName,FullName,Algorithm,ProofType,FullyPremined,TotalCoinSupply,BuiltOn,SmartContractAddress,PreMinedValue,TotalCoinsFreeFloat,SortOrder,Sponsored,IsTrading,TotalCoinsMined,BlockNumber,NetHashesPerSecond,BlockReward,BlockTime
175611,/coins/aht/overview,/media/1383688/ahc.png,AHT,AHT,Ahoolee,Ahoolee (AHT),Ethash,PoW,0,100000000,7605,N/A,N/A,N/A,1283,False,True,,,,,
186064,/coins/ahtstar/overview,/media/1383796/aht.png,AHT*,AHT*,Bowhead Health,Bowhead Health (AHT*),N/A,N/A,1,100000000,20131,N/A,N/A,N/A,1351,False,False,100000000.0,0.0,0,0.0,0.0
20806,/coins/aib/overview,/media/350971/aib.png,AIB,AIB,AdvancedInternetBlock,AdvancedInternetBlock (AIB),Scrypt,PoW,0,314159265359,N/A,N/A,N/A,N/A,571,False,True,,,,,
927511,/coins/aibb/overview,/media/35307348/aibb.png,AIBB,AIBB,AiBB ,AiBB  (AIBB),N/A,N/A,0,88000000,7605,N/A,N/A,N/A,3721,False,False,,,,,
847135,/coins/aic/overview,/media/32655843/aic.png,AIC,AIC,AI Crypto,AI Crypto (AIC),N/A,N/A,0,10000000000,7605,N/A,N/A,N/A,2547,False,True,,,,,
368770,/coins/aid/overview,/media/14913433/aidcoin.png,AID,AID,AidCoin,AidCoin (AID),N/A,N/A,0,100000000,7605,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,N/A,N/A,1780,False,True,100000000.0,0.0,0,0.0,0.0
684818,/coins/aidoc/overview,/media/25792577/aidoc.png,AIDOC,AIDOC,AI Doctor,AI Doctor (AIDOC),N/A,N/A,0,777775241,7605,0x584b44853680ee34a0f337b712a8f66d816df151,N/A,N/A,2100,False,True,777777777.0,0.0,0,0.0,0.0
926328,/coins/aim/overview,/media/34835975/aim.png,AIM,AIM,Aimedis,Aimedis (AIM),N/A,N/A,0,600000000,7605,N/A,N/A,N/A,3460,False,False,,,,,
922747,/coins/aims/overview,/media/34477845/aims.jpg,AIMS,AIMS,HighCastle Token,HighCastle Token (AIMS),N/A,N/A,0,2000000000,7605,0x9a1c7577a69ea9e296ef99bfb0eb6bedbe352a36,N/A,N/A,3096,False,True,2000000000.0,0.0,0,0.0,0.0
431235,/coins/aion/overview,/media/16746538/aion.png,AION,AION,Aion,Aion (AION),N/A,N/A,0,465934586.66,N/A,N/A,N/A,N/A,1925,False,True,0.0,2542004.0,1065615.67078189,1.49798928324331,7.0
928636,/coins/aiot/overview,/media/35309499/aiot.png,AIOT,AIOT,AIOT Token,AIOT Token (AIOT),N/A,N/A,0,500000000,7605,N/A,N/A,N/A,3913,False,False,,,,,
338555,/coins/air/overview,/media/12318291/air.png,AIR,AIR,AirToken,AirToken (AIR),N/A,N/A,0,1491492558,7605,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,N/A,N/A,1684,False,True,1491492558.0,0.0,0,0.0,0.0
924996,/coins/aire/overview,/media/34478072/aire.png,AIRE,AIRE,Tokenaire,Tokenaire (AIRE),N/A,N/A,0,7000000000,20131,N/A,N/A,N/A,3196,False,False,,,,,
928716,/coins/airt/overview,/media/35309549/airt.png,AIRT,AIRT,Aircraft,Aircraft (AIRT),N/A,N/A,0,100000000,7605,N/A,N/A,N/A,3937,False,False,0.0,0.0,0,0.0,64.0
777027,/coins/ait/overview,/media/27010829/ait.jpg,AIT,AIT,AIChain Token,AIChain Token (AIT),N/A,N/A,0,2100000000,7605,N/A,N/A,N/A,2321,False,True,2100000000.0,0.0,0,0.0,0.0
893480,/coins/aitt/overview,/media/33434201/aitt.png,AITT,AITT,AITrading,AITrading (AITT),N/A,N/A,0,108888888,7605,N/A,N/A,N/A,2776,False,False,,,,,
187030,/coins/aix/overview,/media/1383807/aig.png,AIX,AIX,Aigang,Aigang (AIX),N/A,N/A,0,29274566.724462560143156861,7605,0x1063ce524265d5a3a624f4914acd573dd89ce988,N/A,N/A,1483,False,True,29274566.7244626,0.0,0,0.0,0.0
830940,/coins/aka/overview,/media/30001848/aka.jpg,AKA,AKA,Akroma,Akroma (AKA),Ethash,PoW,0,100000000,N/A,N/A,N/A,N/A,2490,False,True,,,,,
33401,/coins/alc/overview,/media/352022/alc.png,ALC,ALC,Arab League Coin,Arab League Coin (ALC),X13,PoW,0,N/A,N/A,N/A,N/A,N/A,908,False,True,,,,,
45607,/coins/alex/overview,/media/1382657/alex.png,ALEX,ALEX,Alexandrite,Alexandrite (ALEX),SHA256,PoW/PoS,0,1268000,N/A,N/A,N/A,N/A,1100,False,True,,,,,
4325,/coins/alf/overview,/media/19600/alf.png,ALF,ALF,AlphaCoin,AlphaCoin (ALF),Scrypt,PoW,0,210182000,N/A,N/A,N/A,N/A,38,False,True,,,,,
903856,/coins/alg/overview,/media/33842957/alg.jpg,ALG,ALG,Algory,Algory (ALG),N/A,N/A,0,75000000,7605,0x16b0a1a87ae8af5c792fabc429c4fe248834842b,N/A,N/A,2853,False,True,,,,,
331603,/coins/alis/overview,/media/12318247/alis.png,ALIS,ALIS,ALISmedia,ALISmedia (ALIS),N/A,N/A,0,287604611.0864,7605,0xea610b1153477720748dc13ed378003941d84fab,N/A,N/A,1660,False,True,75200000.0,0.0,0,0.0,0.0
4328,/coins/aln/overview,/media/20080/aln.png,ALN,ALN,AlienCoin,AlienCoin (ALN),Scrypt,PoW,0,200000000,N/A,N/A,N/A,N/A,41,False,True,,,,,
859662,/coins/alps/overview,/media/30002172/alps.jpg,ALPS,ALPS,Alpenschillling,Alpenschillling (ALPS),Lyra2Z,PoW,0,300000000,N/A,N/A,N/A,N/A,2607,False,True,27340501.6514783,110556.0,73126699.7088488,113.750000463799,110.0
402782,/coins/alqo/overview,/media/16404849/alqo.png,ALQO,ALQO,Alqo,Alqo (ALQO),Quark,PoW/PoS,0,57879300,N/A,N/A,N/A,N/A,1878,False,False,64047513.95358,667920.0,0,0.0,60.0
777330,/coins/alt/overview,/media/27010831/alt.jpg,ALT,ALT,ALTcoin,ALTcoin (ALT),SHA256,N/A,0,134063,N/A,N/A,N/A,N/A,2323,False,True,,,,,
369110,/coins/altcom/overview,/media/14913436/altcom.png,ALTCOM,ALTCOM,AltCommunity Coin,AltCommunity Coin (ALTCOM),SkunkHash,PoW/PoS,0,163358.72760916,N/A,N/A,N/A,N/A,1782,False,True,0.0,0.0,0,0.0,60.0
240439,/coins/altocar/overview,/media/9350746/altc.png,ALTOCAR,ALTOCAR,AltoCar,AltoCar (ALTOCAR),N/A,N/A,0,N/A,20131,N/A,N/A,N/A,1522,False,True,32000000.0,568934.0,0,0.0,0.0
928455,/coins/alux/overview,/media/35309403/alux.png,ALUX,ALUX,Alux Bank,Alux Bank (ALUX),N/A,N/A,0,1000000000,7605,N/A,N/A,N/A,3860,False,False,,,,,
787696,/coins/alx/overview,/media/27010915/alx.jpg,ALX,ALX,ALAX,ALAX (ALX),DPoS,DPoS,1,1000000000,7605,0x49b127bc33ce7e1586ec28cec6a65b112596c822,N/A,N/A,2376,False,True,1000000000.0,0.0,0,0.0,0.0
5330,/coins/am/overview,/media/20191/am.png,AM,AM,AeroMe,AeroMe (AM),X13,PoW/PoS,0,12000000,N/A,N/A,N/A,N/A,298,False,True,0.0,0.0,0,0.0,0.0
238733,/coins/amb/overview,/media/9350739/amb.png,AMB,AMB,Ambrosus,Ambrosus (AMB),N/A,N/A,0,361477438,7605,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,N/A,N/A,1518,False,True,361477437.535701,0.0,0,0.0,0.0
5332,/coins/amber/overview,/media/20187/amber.png,AMBER,AMBER,AmberCoin,AmberCoin (AMBER),X11,PoW/PoS,0,1000000000,N/A,N/A,N/A,N/A,300,False,True,,,,,
835125,/coins/ambt/overview,/media/30001865/ambt.png,AMBT,AMBT,AMBT Token,AMBT Token (AMBT),N/A,N/A,0,104000000,7605,0x3d2b62ad28a7a11824db8d64d170843e3b89f6ec,N/A,N/A,2501,False,False,25262425.8269717,0.0,0,0.0,0.0
